NPI,Provider Secondary Practice Location Address-Address Line 1,Provider Secondary Practice Location Address-Address Line 2,Provider Secondary Practice Location Address-City Name,Provider Secondary Practice Location Address-State Name,Provider Secondary Practice Location Address-Postal Code,Provider Secondary Practice Location Address-Telephone Number
1000000079,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000145,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000210,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000285,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000350,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000426,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000491,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000566,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000632,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000707,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000772,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000848,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000913,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000000988,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000001051,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000001127,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000001192,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000001267,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000001333,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
1000001408,200 ANNEX BLVD,STE 5,DALLAS,TX,752010000,2145551212
