npi,deactivation_date,source
1184649626,06/07/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1740801802,06/06/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356587356,06/06/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1003753823,06/06/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1780527499,06/06/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1649640590,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1104393214,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1720723075,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1770366858,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1639966526,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1104627090,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1689567182,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1336862952,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1639893001,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1164257218,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538224878,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1891850137,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1821153164,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1316001332,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1588728836,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1326103664,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1689738395,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1902960297,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538366083,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1437381639,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235293846,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1649348863,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1912061201,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1972628352,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1710041009,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548324890,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1972668218,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1841354461,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1578760021,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1164586038,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1821308248,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1982729620,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538223987,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1205990488,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1427112424,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1659435949,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1558584615,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245394410,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1841354339,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629283114,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1083778534,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1194880427,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548325889,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245394865,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1770018988,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1902344484,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1689837528,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1952604191,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1558214254,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1801528385,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1386491504,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124719935,06/05/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1396502993,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1710350822,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1881579902,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1912156217,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
